"2011.07068","Santiago L\'opez-Tapia","Santiago L\'opez-Tapia and Nicol\'as P\'erez de la Blanca","Fast and Robust Cascade Model for Multiple Degradation Single Image
  Super-Resolution","12 pages and 11 figures (8 figures and 3 tables)",,"10.1109/TIP.2021.3074821",,"cs.CV cs.LG eess.IV","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Single Image Super-Resolution (SISR) is one of the low-level computer vision
problems that has received increased attention in the last few years. Current
approaches are primarily based on harnessing the power of deep learning models
and optimization techniques to reverse the degradation model. Owing to its
hardness, isotropic blurring or Gaussians with small anisotropic deformations
have been mainly considered. Here, we widen this scenario by including large
non-Gaussian blurs that arise in real camera movements. Our approach leverages
the degradation model and proposes a new formulation of the Convolutional
Neural Network (CNN) cascade model, where each network sub-module is
constrained to solve a specific degradation: deblurring or upsampling. A new
densely connected CNN-architecture is proposed where the output of each
sub-module is restricted using some external knowledge to focus it on its
specific task. As far we know this use of domain-knowledge to module-level is a
novelty in SISR. To fit the finest model, a final sub-module takes care of the
residual errors propagated by the previous sub-modules. We check our model with
three state of the art (SOTA) datasets in SISR and compare the results with the
SOTA models. The results show that our model is the only one able to manage our
wider set of deformations. Furthermore, our model overcomes all current SOTA
methods for a standard set of deformations. In terms of computational load, our
model also improves on the two closest competitors in terms of efficiency.
Although the approach is non-blind and requires an estimation of the blur
kernel, it shows robustness to blur kernel estimation errors, making it a good
alternative to blind models.
","[{""version"":""v1"",""created"":""Mon, 16 Nov 2020 18:59:49 GMT""}]","2021-05-19"
"2011.08049","Yifan Jing","Yifan Jing, Bojan Mohar","Efficient polynomial-time approximation scheme for the genus of dense
  graphs","36 pages. An extended abstract of the preliminary version of this
  paper appeared in FOCS 2018",,,,"math.CO cs.DM","http://creativecommons.org/licenses/by/4.0/","  The main results of this paper provide an Efficient Polynomial-Time
Approximation Scheme (EPTAS) for approximating the genus (and non-orientable
genus) of dense graphs. By dense we mean that $|E(G)|\ge \alpha |V(G)|^2$ for
some fixed $\alpha>0$. While a constant factor approximation is trivial for
this class of graphs, approximations with factor arbitrarily close to 1 need a
sophisticated algorithm and complicated mathematical justification. More
precisely, we provide an algorithm that for a given (dense) graph $G$ of order
$n$ and given $\varepsilon>0$, returns an integer $g$ such that $G$ has an
embedding into a surface of genus $g$, and this is $\varepsilon$-close to a
minimum genus embedding in the sense that the minimum genus $\mathsf{g}(G)$ of
$G$ satisfies: $\mathsf{g}(G)\le g\le (1+\varepsilon)\mathsf{g}(G)$. The
running time of the algorithm is $O(f(\varepsilon)\,n^2)$, where $f(\cdot)$ is
an explicit function. Next, we extend this algorithm to also output an
embedding (rotation system) whose genus is $g$. This second algorithm is an
Efficient Polynomial-time Randomized Approximation Scheme (EPRAS) and runs in
time $O(f_1(\varepsilon)\,n^2)$.
","[{""version"":""v1"",""created"":""Mon, 16 Nov 2020 16:01:58 GMT""}]","2020-11-17"
"2011.08050","Marzieh Farhang","Marzieh Farhang and Nima Khosravi","Phenomenological Gravitational Phase Transition: Reconciliation between
  the Late and Early Universe",,"Phys. Rev. D 103, 083523 (2021)","10.1103/PhysRevD.103.083523",,"astro-ph.CO","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  In this work we investigate whether a certain phenomenological extension to
the general relativity (GR), in the form of a gravitational phase transition
(GPT) in the Universe, can reduce the external $Planck$ tensions with the local
Hubble measurements and the distribution of matter, characterized by
$\sigma_8$, as well as its internal inconsistencies in the lensing amplitude
and the low--high $\ell$ parameter estimates. We introduce new degrees of
freedom into the background and the two scalar perturbation equations in the
Newtonian gauge, with simultaneous transitions from an early gravitational
phase equivalent to GR toward a late phase. We model the transition as a ""tanh""
parametrized by the transition redshift $z_{\rm t}$ and width $\alpha$, with
amplitudes $\Lambda(z)$ and $(\mu(z),\gamma(z))$ for the background and
perturbations respectively. We verify the consistency of the datasets used in
this work in the GPT framework and confirm that the individual tensions do not
require conflicting transitions. We find that the joint datasets prefer a
recent transition at $z_{\rm t}\approx 0.9$ in the background and perturbed
Einstein equations, driven mainly by the local Hubble measurement. This
transition relaxes all the tensions considered in this work.
","[{""version"":""v1"",""created"":""Mon, 16 Nov 2020 16:03:31 GMT""}]","2021-04-28"
"2011.08051","Guin-Dar Lin","Chen-Yu Lee, Kuan-Ting Lin, Guin-Dar Lin","Prototype of a phonon laser with trapped ions","9 pages, 5 figures",,,,"quant-ph","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We propose a tunable phonon laser prototype with a large trapped ion array,
where some of the ions are effectively pinned by optical tweezers, thus
isolating a subset of ions that mimics an acoustic cavity used as a phonon
lasing resonator. The cavity loss can then be controlled by the tweezer
strength and the ""wall thickness"", the number of pinned ions for isolation. We
pump the resonator by applying blue-sideband lasers, and investigate the lasing
dynamics of the cavity modes such as threshold behavior, population
distribution, the second-order coherence, and line-narrowed spectrum. This
scheme can be generalized to resonators consisting of multiple cavity modes
formed by a few ions, where we demonstrate mode competition and synchronization
as lasing modes have developed.
","[{""version"":""v1"",""created"":""Mon, 16 Nov 2020 16:04:13 GMT""}]","2020-11-17"
"2011.08052","Gregoire Misguich","Atsuo Kuniba, Gr\'egoire Misguich and Vincent Pasquier","Generalized hydrodynamics in complete box-ball system for
  $U_q(\widehat{sl}_n)$","60 pages, 10 figures. Submitted to SciPost. v2: added 2 references,
  order of figures changed, various other minor changes","SciPost Phys. 10, 095 (2021)","10.21468/SciPostPhys.10.4.095",,"nlin.SI cond-mat.stat-mech math-ph math.MP nlin.CG","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We introduce the complete box-ball system (cBBS), which is an integrable
cellular automaton on 1D lattice associated with the quantum group
$U_q(\widehat{sl}_n)$. Compared with the conventional $(n-1)$-color BBS, it
enjoys a remarkable simplification that scattering of solitons is totally
diagonal. We also submit the cBBS to randomized initial conditions and study
its non-equilibrium behavior by thermodynamic Bethe ansatz and generalized
hydrodynamics. Excellent agreement is demonstrated between theoretical
predictions and numerical simulation on the density plateaux generated from
domain wall initial conditions including their diffusive broadening.
","[{""version"":""v1"",""created"":""Mon, 16 Nov 2020 16:04:14 GMT""},{""version"":""v2"",""created"":""Fri, 12 Feb 2021 09:56:27 GMT""}]","2021-05-05"
"2011.08053","Amin Aboubrahim","Amin Aboubrahim, Michael Klasen, and Pran Nath","Xenon-1T excess as a possible signal of a sub-GeV hidden sector dark
  matter","21 pages, 4 figures, 1 table. Accepted for publication in JHEP",,"10.1007/JHEP02(2021)229",,"hep-ph","http://creativecommons.org/licenses/by/4.0/","  We present a particle physics model to explain the observed enhancement in
the Xenon-1T data at an electron recoil energy of 2.5 keV. The model is based
on a $U(1)$ extension of the Standard Model where the dark sector consists of
two essentially mass degenerate Dirac fermions in the sub-GeV region with a
small mass splitting interacting with a dark photon. The dark photon is
unstable and decays before the big bang nucleosynthesis, which leads to the
dark matter constituted of two essentially mass degenerate Dirac fermions. The
Xenon-1T excess is computed via the inelastic exothermic scattering of the
heavier dark fermion from a bound electron in xenon to the lighter dark fermion
producing the observed excess events in the recoil electron energy. The model
can be tested with further data from Xenon-1T and in future experiments such as
SuperCDMS.
","[{""version"":""v1"",""created"":""Mon, 16 Nov 2020 16:06:48 GMT""},{""version"":""v2"",""created"":""Mon, 25 Jan 2021 20:40:46 GMT""}]","2021-03-17"
"2011.08054","Leo Rannou","L\'eo Rannou, Cl\'emence Magnien, Matthieu Latapy","Strongly Connected Components in Stream Graphs: Computation and
  Experimentations",,,,,"cs.SI cs.DS","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Stream graphs model highly dynamic networks in which nodes and/or links
arrive and/or leave over time. Strongly connected components in stream graphs
were defined recently, but no algorithm was provided to compute them. We
present here several solutions with polynomial time and space complexities,
each with its own strengths and weaknesses. We provide an implementation and
experimentally compare the algorithms in a wide variety of practical cases. In
addition, we propose an approximation scheme that significantly reduces
computation costs, and gives even more insight on the dataset.
","[{""version"":""v1"",""created"":""Mon, 16 Nov 2020 16:10:30 GMT""},{""version"":""v2"",""created"":""Mon, 30 Nov 2020 14:35:46 GMT""},{""version"":""v3"",""created"":""Thu, 2 Sep 2021 14:38:42 GMT""}]","2021-09-03"
"2011.08055","Christopher D. Hsu","Christopher D. Hsu, Heejin Jeong, George J. Pappas, and Pratik
  Chaudhari","Scalable Reinforcement Learning Policies for Multi-Agent Control","8 pages, 10 figures, contributed paper at IROS 2021",,,,"cs.MA cs.LG","http://creativecommons.org/licenses/by/4.0/","  We develop a Multi-Agent Reinforcement Learning (MARL) method to learn
scalable control policies for target tracking. Our method can handle an
arbitrary number of pursuers and targets; we show results for tasks consisting
up to 1000 pursuers tracking 1000 targets. We use a decentralized,
partially-observable Markov Decision Process framework to model pursuers as
agents receiving partial observations (range and bearing) about targets which
move using fixed, unknown policies. An attention mechanism is used to
parameterize the value function of the agents; this mechanism allows us to
handle an arbitrary number of targets. Entropy-regularized off-policy RL
methods are used to train a stochastic policy, and we discuss how it enables a
hedging behavior between pursuers that leads to a weak form of cooperation in
spite of completely decentralized control execution. We further develop a
masking heuristic that allows training on smaller problems with few
pursuers-targets and execution on much larger problems. Thorough simulation
experiments, ablation studies, and comparisons to state of the art algorithms
are performed to study the scalability of the approach and robustness of
performance to varying numbers of agents and targets.
","[{""version"":""v1"",""created"":""Mon, 16 Nov 2020 16:11:12 GMT""},{""version"":""v2"",""created"":""Wed, 28 Jul 2021 20:19:39 GMT""},{""version"":""v3"",""created"":""Wed, 4 Aug 2021 14:43:10 GMT""},{""version"":""v4"",""created"":""Wed, 10 Nov 2021 14:42:22 GMT""}]","2021-11-11"
"2011.08056","Jeremiah Croshaw","Jeremiah Croshaw, Taleana Huff, Mohamad Rashidi, John Wood, Erika
  Lloyd, Jason Pitters, Robert Wolkow","Ionic Charge Distributions in Silicon Atomic Wires",,,"10.1039/D0NR08295C",,"cond-mat.mtrl-sci","http://creativecommons.org/licenses/by/4.0/","  Using a non-contact atomic force microscope (nc-AFM), we examine continuous
DB wire structures on the hydrogen-terminated silicon (100) 2x1 surface. By
probing the DB structures at varying energies, we identify the formation of
previously unobserved ionic charge distributions correlated to the net charge
of DB wires and their predicted lattice distortion. Performing spectroscopic
analysis, we identify higher energy configurations corresponding to alternative
lattice distortions as well as tip-induced charging effects. By varying the
length and orientation of these DB structures, we further highlight key
features in the formation of these ionic surface phases.
","[{""version"":""v1"",""created"":""Mon, 16 Nov 2020 16:11:17 GMT""}]","2021-02-15"
"2011.08057","Samuel Marsh","N. Slate, E. Matwiejew, S. Marsh, J. B. Wang","Quantum walk-based portfolio optimisation",,"Quantum 5, 513 (2021)","10.22331/q-2021-07-28-513",,"quant-ph","http://creativecommons.org/licenses/by/4.0/","  This paper proposes a highly efficient quantum algorithm for portfolio
optimisation targeted at near-term noisy intermediate-scale quantum computers.
Recent work by Hodson et al. (2019) explored potential application of hybrid
quantum-classical algorithms to the problem of financial portfolio rebalancing.
In particular, they deal with the portfolio optimisation problem using the
Quantum Approximate Optimisation Algorithm and the Quantum Alternating Operator
Ansatz. In this paper, we demonstrate substantially better performance using a
newly developed Quantum Walk Optimisation Algorithm in finding high-quality
solutions to the portfolio optimisation problem.
","[{""version"":""v1"",""created"":""Mon, 16 Nov 2020 16:11:33 GMT""},{""version"":""v2"",""created"":""Sat, 28 Nov 2020 10:58:35 GMT""},{""version"":""v3"",""created"":""Mon, 26 Jul 2021 13:38:16 GMT""}]","2021-07-29"
"2011.08058","Wuchen Li","Qi Feng, Wuchen Li","Entropy dissipation via Information Gamma calculus: Non-reversible
  stochastic differential equations",,,,,"math.PR math.DS math.OC","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  We formulate explicit bounds to guarantee the exponential dissipation for
some non-gradient stochastic differential equations towards their invariant
distributions. Our method extends the connection between Gamma calculus and
Hessian operators in $L^2$--Wasserstein space. In details, we apply Lyapunov
methods in the space of probabilities, where the Lyapunov functional is chosen
as the relative Fisher information. We derive the Fisher information induced
Gamma calculus to handle non-gradient drift vector fields. We obtain the
explicit dissipation bound in terms of $L_1$ distance and formulate the
non-reversible Poincar{\'e} inequality. An analytical example is provided for a
non-reversible Langevin dynamic.
","[{""version"":""v1"",""created"":""Mon, 16 Nov 2020 16:11:39 GMT""},{""version"":""v2"",""created"":""Tue, 24 Nov 2020 20:06:40 GMT""}]","2020-11-26"
"2011.08059","Paul Alstein","Paul Alstein, Kim Krijtenburg-Lewerissa and Wouter R. van Joolingen","Teaching and learning special relativity theory in secondary and lower
  undergraduate education: A literature review",,"Phys. Rev. Phys. Educ. Res. 17, 023101 (2021)","10.1103/PhysRevPhysEducRes.17.023101",,"physics.ed-ph","http://creativecommons.org/licenses/by/4.0/","  This review presents an overview and analysis of the body of research on
special relativity theory (SRT) education at the secondary and lower
undergraduate level. There is currently a growing international interest in
implementing SRT in pre-university education as an introduction to modern
physics. For this reason, insights into learning opportunities and challenges
in SRT education are needed. The field of research in SRT education is still at
an early stage, especially at the level of secondary education, and there is a
shortage of empirical evaluation of learning outcomes. In order to guide future
research directions, there is a need for an overview and synthesis of the
results reported so far. We have selected 40 articles and categorized them
according to reported learning difficulties, teaching approaches, and research
tools. Analysis shows that students at all educational levels experience
learning difficulties with the use of frames of reference, the postulates of
SRT, and relativistic effects. In the reported teaching sequences,
instructional materials, and learning activities, these difficulties are
approached from different angles. Some teaching approaches focus on thought
experiments to express conceptual features of SRT, while others use virtual
environments to provide realistic visualization of relativistic effects. From
the reported teaching approaches, three learning objectives can be identified:
to foster conceptual understanding, to foster understanding of the history and
philosophy of science, and to gain motivation and confidence toward SRT and
physics in general. In order to quantitatively compare learning outcomes of
different teaching strategies, a more thorough evaluation of assessment tools
is required.
","[{""version"":""v1"",""created"":""Mon, 16 Nov 2020 16:14:01 GMT""},{""version"":""v2"",""created"":""Fri, 20 Nov 2020 13:10:56 GMT""},{""version"":""v3"",""created"":""Tue, 13 Jul 2021 10:26:13 GMT""}]","2021-07-21"
"2011.08060","Javor Novev","Javor K. Novev, Mathias L. Heltberg, Mogens H. Jensen, Amin
  Doostmohammadi","Spatiotemporal model of cellular mechanotransduction via Rho and YAP",,,"10.1101/2020.11.09.372730",,"physics.bio-ph cond-mat.soft q-bio.SC","http://creativecommons.org/licenses/by/4.0/","  How cells sense and respond to mechanical stimuli remains an open question.
Recent advances have identified the translocation of Yes-associated protein
(YAP) between nucleus and cytoplasm as a central mechanism for sensing
mechanical forces and regulating mechanotransduction. We formulate a
spatiotemporal model of the mechanotransduction signalling pathway that
includes coupling of YAP with the cell force-generation machinery through the
Rho family of GTPases. Considering the active and inactive forms of a single
Rho protein (GTP/GDP-bound) and of YAP (non-phosphorylated/phosphorylated), we
study the cross-talk between cell polarization due to active Rho and YAP
activation through its nuclear localization.
  For fixed mechanical stimuli, our model predicts stationary
nuclear-to-cytoplasmic YAP ratios consistent with experimental data at varying
adhesive cell area. We further predict damped and even sustained oscillations
in the YAP nuclear-to-cytoplasmic ratio by accounting for recently reported
positive and negative YAP-Rho feedback. Extending the framework to time-varying
mechanical stimuli that simulate cyclic stretching and compression, we show
that the YAP nuclear-to-cytoplasmic ratio's time dependence follows that of the
cyclic mechanical stimulus. The model presents one of the first frameworks for
understanding spatiotemporal YAP mechanotransduction, providing several
predictions of possible YAP localization dynamics, and suggesting new
directions for experimental and theoretical studies.
","[{""version"":""v1"",""created"":""Mon, 16 Nov 2020 16:14:44 GMT""}]","2020-11-17"
"2011.08061","Young-Keun Kim","Seontaek Oh, Ji-Hwan You, Young-Keun Kim","FRDet: Balanced and Lightweight Object Detector based on Fire-Residual
  Modules for Embedded Processor of Autonomous Driving",,,,,"cs.CV eess.IV","http://creativecommons.org/licenses/by-nc-nd/4.0/","  For deployment on an embedded processor for autonomous driving, the object
detection network should satisfy all of the accuracy, real-time inference, and
light model size requirements. Conventional deep CNN-based detectors aim for
high accuracy, making their model size heavy for an embedded system with
limited memory space. In contrast, lightweight object detectors are greatly
compressed but at a significant sacrifice of accuracy. Therefore, we propose
FRDet, a lightweight one-stage object detector that is balanced to satisfy all
the constraints of accuracy, model size, and real-time processing on an
embedded GPU processor for autonomous driving applications. Our network aims to
maximize the compression of the model while achieving or surpassing YOLOv3
level of accuracy. This paper proposes the Fire-Residual (FR) module to design
a lightweight network with low accuracy loss by adapting fire modules with
residual skip connections. In addition, the Gaussian uncertainty modeling of
the bounding box is applied to further enhance the localization accuracy.
Experiments on the KITTI dataset showed that FRDet reduced the memory size by
50.8% but achieved higher accuracy by 1.12% mAP compared to YOLOv3. Moreover,
the real-time detection speed reached 31.3 FPS on an embedded GPU board(NVIDIA
Xavier). The proposed network achieved higher compression with comparable
accuracy compared to other deep CNN object detectors while showing improved
accuracy than the lightweight detector baselines. Therefore, the proposed FRDet
is a well-balanced and efficient object detector for practical application in
autonomous driving that can satisfies all the criteria of accuracy, real-time
inference, and light model size.
","[{""version"":""v1"",""created"":""Mon, 16 Nov 2020 16:15:43 GMT""}]","2020-11-17"
"2011.08062","Tim Prangemeier","Tim Prangemeier, Christian Wildner, Andr\'e O. Fran\c{c}ani, Christoph
  Reich, Heinz Koeppl","Multiclass Yeast Segmentation in Microstructured Environments with Deep
  Learning","IEEE CIBCB 2020 (accepted)",,"10.1109/CIBCB48159.2020.9277693",,"q-bio.QM cs.CV eess.IV physics.ins-det","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  Cell segmentation is a major bottleneck in extracting quantitative
single-cell information from microscopy data. The challenge is exasperated in
the setting of microstructured environments. While deep learning approaches
have proven useful for general cell segmentation tasks, existing segmentation
tools for the yeast-microstructure setting rely on traditional machine learning
approaches. Here we present convolutional neural networks trained for
multiclass segmenting of individual yeast cells and discerning these from
cell-similar microstructures. We give an overview of the datasets recorded for
training, validating and testing the networks, as well as a typical use-case.
We showcase the method's contribution to segmenting yeast in microstructured
environments with a typical synthetic biology application in mind. The models
achieve robust segmentation results, outperforming the previous
state-of-the-art in both accuracy and speed. The combination of fast and
accurate segmentation is not only beneficial for a posteriori data processing,
it also makes online monitoring of thousands of trapped cells or closed-loop
optimal experimental design feasible from an image processing perspective.
","[{""version"":""v1"",""created"":""Mon, 16 Nov 2020 16:16:13 GMT""},{""version"":""v2"",""created"":""Thu, 19 Nov 2020 14:28:20 GMT""}]","2021-01-08"
